brand,display,graphic,hdd,link,name,price,processor,ram
acer,14'' HD Acer CineCrystal LED Display,Intel HD Graphic,500.0,http://www.linnonlinestore.com/acer-es1-432-celeron-laptop/?setCurrencyId=1,acer es1 -432 (celeron) laptop,"432,000",Intel Celeron,4
,,,,,,,,
acer,14'' HD Acer CineCrystal LED Display,Intel HD Graphic,500.0,http://www.linnonlinestore.com/acer-aspire-es1-432-pentium-laptop/?setCurrencyId=1,acer aspire es1-432 (pentium) laptop,"509,000",3th Generation Intel Pentium,4
,,,,,,,,
acer,14'' HD Acer CineCrystal LED Display,Intel HD Graphic,500.0,http://www.linnonlinestore.com/acer-aspire-es1-432-pentium-laptop/?setCurrencyId=2,acer aspire es1-432 (pentium) laptop,543357.5,3th Generation Intel Pentium,4
,,,,,,,,
asus,15.6'' FHD Anti-Glare LED backlit,Nvidia Geforce GTX1050 2GB DDR5,1000.0,http://www.linnonlinestore.com/asus-fx-553-vd-gaming-i7-laptop/,asus fx 553 vd gaming i7 laptop,"1,440,000",7th Generation Intel Core i7,8
,,,,,,,,
asus,15.6'' FHD Anti-Glare LED backlit,Nvidia Geforce GTX1050 2GB DDR5,1000.0,http://www.linnonlinestore.com/asus-fx-553-vd-gaming-i7-laptop/?setCurrencyId=1,asus fx 553 vd gaming i7 laptop,"1,440,000",7th Generation Intel Core i7,8
,,,,,,,,
dell,15.6” HD Display,Intel HD Graphics,500.0,http://www.linnonlinestore.com/dell-inspiron-3582-celeron/,dell inspiron  3582 (celeron),"500,000",Intel Celeron,4
,,,,,,,,
dell, 13.3'HD Display(3200x1800),"Intel HD Graphics ,Window 10 Pro Licenses",256.0,http://www.linnonlinestore.com/dell-inspiron-xps-13-9370-i7/?setCurrencyId=1,dell inspiron xps 13 (9370) i7,"2,545,000 ", 8th Generation Intel Core i7, 8
,,,,,,,,
dell,15.6” HD Display,Intel HD Graphics,500.0,http://www.linnonlinestore.com/dell-inspiron-3582-celeron/?setCurrencyId=1,dell inspiron  3582 (celeron),"500,000",Intel Celeron,4
,,,,,,,,
dell,15.6” HD Display,Intel HD Graphics,500.0,http://www.linnonlinestore.com/dell-inspiron-3582-celeron/?setCurrencyId=2,dell inspiron  3582 (celeron),533750.0,Intel Celeron,4
,,,,,,,,
acer,14'' HD Acer CineCrystal LED Display,Intel HD Graphic,500.0,http://www.linnonlinestore.com/acer-aspire-es1-432-pentium/,acer aspire es1-432 (pentium),547627.5,3th Generation Intel Pentium,4
,,,,,,,,
acer,14'' HD Acer CineCrystal LED Display,Intel HD Graphic,500.0,http://www.linnonlinestore.com/acer-aspire-es1-432-pentium/?setCurrencyId=2,acer aspire es1-432 (pentium),547627.5,3th Generation Intel Pentium,4
,,,,,,,,
acer,14'' HD Acer CineCrystal LED Display,Intel HD Graphic,500.0,http://www.linnonlinestore.com/acer-aspire-es1-432-pentium/?setCurrencyId=1,acer aspire es1-432 (pentium),"513,000",3th Generation Intel Pentium,4
,,,,,,,,
dell," 15.6'' Display,", 1TB HDD  AMD Radeon 520 (2GB) Graphics ,1024,http://www.linnonlinestore.com/dell-inspiron-15-3581-i3/,dell inspiron 15 3581 (i3),"650,000 ", 7th Generation Intel Core i3,  4
,,,,,,,,
acer," 15.6"" HD Acer CineCrystal LCD Display", Nvidia Geforce  130MX 2GB,1000.0,http://www.linnonlinestore.com/acer-aspire-e5-576g-8th-gen-i3-laptop/,acer aspire e5-576g (8th gen i3) laptop,"666,000 ", 7th Generation Intel Core i3, 4
,,,,,,,,
